V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0.25,0.5,0.75,1,1.5,2,2.5,3,4
0,0,0,0.04,0.52,1,1,1,1,1
0,0,0,0.04,0.36,1,1,1,1,1
0,0,0,0,0.36,1,1,1,1,1
0,0,0,0,0.28,1,1,1,1,1
0,0,0,0,0.28,1,1,1,1,1
0,0.0664,0.0556,0.0968,0.1208,0.304,0.5712,0.7292,0.8384,0.9248
0,0.0516,0.0498,0.0488,0.0734,0.3798,0.653,0.7648,0.8388,0.9118
0,0.03986667,0.0508,0.07226667,0.1026667,0.4132,0.662933,0.7737333,0.8304,0.9113333
0,0.0268,0.0364,0.0571,0.0842,0.4292,0.6504,0.7681,0.8436,0.9156
0,0.0296,0.02728,0.03768,0.07928,0.406,0.66752,0.76984,0.84568,0.91856
